Id,Name,Type,UnitPrice
969b2e39-1b21-4212-8c8f-446c3264fa49,Vanilla Cake,Cake,5000
50dcb62f-7341-4997-8b39-46e5d49e98a1,Pineapple Juice,Juice,3500
ff5dce4b-6c86-4c2b-9730-7b79ee23d7f5,Americano Coffee,Coffee,3000
44db259e-5d3d-42c4-b3e6-505b2f84b303,Red Velvet Cake,Cake,6500
4784876d-17e2-4025-b1f0-8619c6059b0b,Latte Coffee,Coffee,4000
7ecc6e5e-356b-480d-b78a-5d4dcbfe30b4,Cappuccino Coffee,Coffee,4500
41b1c0ac-64c8-480e-8d9c-b142527fac20,Apple Juice,Juice,2500
b9dafd58-26f0-41c1-b6a1-422a8ef592df,Latte Coffee,Coffee,4000
eb5e8512-8678-451e-88e7-c502d317803d,Mocha Coffee,Coffee,5000
e4eefd81-5fae-4011-96fa-13b62cf4d394,Watermelon Juice,Juice,4000
a05eff06-3dda-474e-98f3-d08eab68ccda,Red Velvet Cake,Cake,6500
7242396b-4710-4504-84a3-03c873182e50,Grape Juice,Juice,3000
c4c06e71-2fc6-4822-9686-edd5edeb714c,Carrot Cake,Cake,6000
b93942c8-2d85-4104-a050-299153f87b18,Cappuccino Coffee,Coffee,4500
ea72a7d5-6ce6-468a-a546-ca35e39ed1e4,Vanilla Cake,Cake,5000
