Id,Name,Type,UnitPrice
1c69276d-6af1-45e5-b4a8-5cd3490555a6,Apple Juice,Juice,2500
0a0abab7-d5a1-4435-9b57-bafb7ff84783,Espresso Coffee,Coffee,2500
d94db732-3ed9-464d-8cbb-59bd58d3574b,Pineapple Juice,Juice,3500
2c6d31d8-4f24-418a-8f3e-c2eb7b244947,Red Velvet Cake,Cake,6500
796a2ae1-7474-4976-9298-3fdb301b44da,Latte Coffee,Coffee,4000
052e3f30-3574-4d57-9032-4b98ebb27fcf,Watermelon Juice,Juice,4000
da698d94-ed92-417a-92c8-a84a99e99e31,Latte Coffee,Coffee,4000
833d12ca-b742-4c51-a412-04662b72e149,Espresso Coffee,Coffee,2500
649e2f3d-5308-46ae-ab3b-2fef388959c0,Orange Juice,Juice,2000
0ab23844-22a5-444a-afb1-18997f344061,Watermelon Juice,Juice,4000
c20b856a-3966-4dbf-b4cf-d4a2e480c6dc,Grape Juice,Juice,3000
0a48ae4d-222e-4880-bdd8-9d13078248ce,Orange Juice,Juice,2000
89411d04-670c-4d8c-8c35-7f1d23e63495,Carrot Cake,Cake,6000
7d80e36d-0262-48ac-b2cd-af0a8ee61c2d,Mocha Coffee,Coffee,5000
0f9da5d3-b021-4705-abac-aa0645e702c6,Watermelon Juice,Juice,4000
